division, categoria, equipo_local, equipo_visitante, fecha, fase, ronda
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,GRACO,CONDORS,2026-02-28T08:00,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,AVS-H2S,VRAPTORS,2026-02-28T08:50,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,RABBITS,AVALANCHA BLANCO,2026-02-28T09:40,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,H2S LIONS,CONDORS,2026-02-28T10:30,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,CONDORS,KATIOS,2026-02-28T11:20,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,AVS-H2S,GRACO,2026-02-28T12:10,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,KATIOS,RABBITS,2026-02-28T13:00,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,AVS-RABBITS BLANCO,H2S LIONS,2026-02-28T13:50,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,CONDORS,KATIOS,2026-02-28T14:40,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,GRACO,KATIOS,2026-02-28T14:40,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,KATIOS,AVALANCHA BLANCO,2026-03-01T08:00,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,H2S LIONS,RABBITS,2026-03-01T08:50,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,AVALANCHA,CONDORS,2026-03-01T09:40,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,RINOS-ANDINOS,KATIOS,2026-03-01T10:30,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,AVS-RABBITS BLANCO,CONDORS,2026-03-01T11:20,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-10,H2S LIONS,KATIOS,2026-03-01T12:10,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,CONDORS,KATIOS,2026-03-01T13:00,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,AVALANCHA,RINOS-ANDINOS,2026-03-01T13:50,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-8,H2S LIONS,KATIOS,2026-03-07T08:00,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-12,CONDORS,H2S LIONS,2026-03-07T08:50,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-8,KATIOS,AVS-RABBITS,2026-03-07T09:40,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,AVS VINOTINTO,KATIOS,2026-03-07T10:30,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-12,H2S LIONS,KATIOS,2026-03-07T11:20,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,AVS VINOTINTO,AVS BLANCO,2026-03-07T12:10,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,VRAPTOR,CONDORS AZUL,2026-03-07T13:00,REGULAR,1
COPA FUTURAS ESTRELLAS,SUB-12,AVS-RABBITS,H2S LIONS,2026-03-07T13:50,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,AVS VINOTINTO,CONDORS NEGRO,2026-03-07T14:40,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,RINOS-ANDINOS,AVS BLANCO,2026-03-07T15:30,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-16 MIXTO,KATIOS,VRAPTOR,2026-03-07T16:20,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,VRAPTORS,CONDORS,2026-03-21T02:40,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,CONDORS,KATIOS,2026-03-21T03:30,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,JUVENIL,AVALANCHA,RINOS-ANDINOS,2026-03-21T04:20,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-10,RABBITS,CONDORS,2026-03-21T08:00,REGULAR,2
COPA FUTURAS ESTRELLAS,SUB-10,H2S LIONS,AVALANCHA BLANCO,2026-03-21T08:50,REGULAR,2
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,CONDORS,AVS-H2S,2026-03-21T09:40,REGULAR,1
COPA NACIONAL HOCKEY EN LÍNEA,SUB-14,VRAPTORS,KATIOS,2026-03-21T10:30,REGULAR,1
